
=====[ POSLOWIE ]=====
Lacznie: 498
Kobiety: 153
Mezczyzni: 345
Polskie znaki w nazwisku: 147
Wieloczlonowe imie: 46
Wieloczlonowe nazwisko: 25



imie	nazwisko	plec	polskie_znaki	wieloczlonowe_imie	wieloczlonowe_nazwisko
        Bogdan Andrzej             Zdrojewski    m          False                True                   False
                Witold           Zembaczyński    m           True               False                   False
                 Piotr             Zgorzelski    m          False               False                   False
              Zbigniew              Ziejewski    m          False               False                   False
          Urszula Sara              Zielińska    k           True                True                   False
              Jarosław              Zieliński    m           True               False                   False
                Tomasz              Zieliński    m           True               False                   False
               Jolanta             Zięba-Gzik    k           True               False                    True
                Tomasz                 Zimoch    m          False               False                   False
              Zbigniew                 Ziobro    m          False               False                   False
       Wojciech Michał               Zubowski    m          False                True                   False
              Ireneusz                  Zyska    m          False               False                   False
                Bożena             Żelazowska    k           True               False                   False
            Anna Maria               Żukowska    k           True                True                   False
